CATEGORIES,COLOR,Sum of MAX,METRIC,TEAM,TOURNAMENT,URL LOGO,Sum of VALUE
ATTACK,#00CF00,100,"LEFT ATTACKS WITH SHOTS, %",Senegal,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/xORbTVT0-lQcLqf4g.png,12.5
ATTACK,#00CF00,100,"LEFT ATTACKS WITH SHOTS, %",Turkey,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/OIr3e18k-Cfuwb3yH.png,22.32
ATTACK,#00CF00,100,"LEFT ATTACKS WITH SHOTS, %",United States,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/xfxMId8k-MPdHoKT3.png,5.489999999999999
ATTACK,#00CF00,100,"LEFT ATTACKS WITH SHOTS, %",Uruguay,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/pvtmslhT-WdZ4jMrq.png,12.5
ATTACK,#00CF00,100,OPPONENT'S BOX ENTRIES,Algeria,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/A9ccQtU0-YFbDUeTh.png,15.5
ATTACK,#00CF00,100,OPPONENT'S BOX ENTRIES,Belgium,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/AqUnTDAN-dtrVaP64.png,27
ATTACK,#00CF00,100,OPPONENT'S BOX ENTRIES,Cabo Verde,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/vRSce5lC-GvK8wiCN.png,8.67
ATTACK,#00CF00,100,OPPONENT'S BOX ENTRIES,Canada,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/0U0WjVkl-EqLGVN18.png,29.67
ATTACK,#00CF00,100,OPPONENT'S BOX ENTRIES,Colombia,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/Y70aXOTH-C6kVdO5F.png,15.5
ATTACK,#00CF00,100,OPPONENT'S BOX ENTRIES,Ecuador,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/nun1o8jC-IPF97VQ3.png,17
ATTACK,#00CF00,100,OPPONENT'S BOX ENTRIES,Egypt,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/SKagcEU0-tY1cOGyQ.png,17
ATTACK,#00CF00,100,OPPONENT'S BOX ENTRIES,Panama,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/WYjftaA6-6yXdouA1.png,15
ATTACK,#00CF00,100,OPPONENT'S BOX ENTRIES,Senegal,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/xORbTVT0-lQcLqf4g.png,21.33
ATTACK,#00CF00,100,OPPONENT'S BOX ENTRIES,Turkey,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/OIr3e18k-Cfuwb3yH.png,26
ATTACK,#00CF00,100,OPPONENT'S BOX ENTRIES,United States,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/xfxMId8k-MPdHoKT3.png,24.67
ATTACK,#00CF00,100,OPPONENT'S BOX ENTRIES,Uruguay,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/pvtmslhT-WdZ4jMrq.png,21.67
ATTACK,#00CF00,100,OPPONENT'S HALF ENTRIES,Algeria,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/A9ccQtU0-YFbDUeTh.png,68
ATTACK,#00CF00,100,OPPONENT'S HALF ENTRIES,Belgium,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/AqUnTDAN-dtrVaP64.png,66.67
ATTACK,#00CF00,100,OPPONENT'S HALF ENTRIES,Cabo Verde,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/vRSce5lC-GvK8wiCN.png,37.67
ATTACK,#00CF00,100,OPPONENT'S HALF ENTRIES,Canada,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/0U0WjVkl-EqLGVN18.png,76.67
ATTACK,#00CF00,100,OPPONENT'S HALF ENTRIES,Colombia,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/Y70aXOTH-C6kVdO5F.png,55.5
ATTACK,#00CF00,100,OPPONENT'S HALF ENTRIES,Ecuador,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/nun1o8jC-IPF97VQ3.png,60
ATTACK,#00CF00,100,OPPONENT'S HALF ENTRIES,Egypt,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/SKagcEU0-tY1cOGyQ.png,57.67
ATTACK,#00CF00,100,OPPONENT'S HALF ENTRIES,Panama,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/WYjftaA6-6yXdouA1.png,57
ATTACK,#00CF00,100,OPPONENT'S HALF ENTRIES,Senegal,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/xORbTVT0-lQcLqf4g.png,66.33
ATTACK,#00CF00,100,OPPONENT'S HALF ENTRIES,Turkey,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/OIr3e18k-Cfuwb3yH.png,76
ATTACK,#00CF00,100,OPPONENT'S HALF ENTRIES,United States,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/xfxMId8k-MPdHoKT3.png,63.67
ATTACK,#00CF00,100,OPPONENT'S HALF ENTRIES,Uruguay,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/pvtmslhT-WdZ4jMrq.png,71.33
ATTACK,#00CF00,100,"POSITIONAL ATTACKS WITH SHOTS, %",Algeria,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/A9ccQtU0-YFbDUeTh.png,9.86
ATTACK,#00CF00,100,"POSITIONAL ATTACKS WITH SHOTS, %",Belgium,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/AqUnTDAN-dtrVaP64.png,21.63
ATTACK,#00CF00,100,"POSITIONAL ATTACKS WITH SHOTS, %",Cabo Verde,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/vRSce5lC-GvK8wiCN.png,12.4
ATTACK,#00CF00,100,"POSITIONAL ATTACKS WITH SHOTS, %",Canada,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/0U0WjVkl-EqLGVN18.png,12.139999999999999
ATTACK,#00CF00,100,"POSITIONAL ATTACKS WITH SHOTS, %",Colombia,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/Y70aXOTH-C6kVdO5F.png,13.389999999999999
ATTACK,#00CF00,100,"POSITIONAL ATTACKS WITH SHOTS, %",Ecuador,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/nun1o8jC-IPF97VQ3.png,14.75
ATTACK,#00CF00,100,"POSITIONAL ATTACKS WITH SHOTS, %",Egypt,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/SKagcEU0-tY1cOGyQ.png,15.73
ATTACK,#00CF00,100,"POSITIONAL ATTACKS WITH SHOTS, %",Panama,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/WYjftaA6-6yXdouA1.png,9.02
ATTACK,#00CF00,100,"POSITIONAL ATTACKS WITH SHOTS, %",Senegal,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/xORbTVT0-lQcLqf4g.png,14.05
ATTACK,#00CF00,100,"POSITIONAL ATTACKS WITH SHOTS, %",Turkey,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/OIr3e18k-Cfuwb3yH.png,19.830000000000002
ATTACK,#00CF00,100,"POSITIONAL ATTACKS WITH SHOTS, %",United States,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/xfxMId8k-MPdHoKT3.png,9.33
ATTACK,#00CF00,100,"POSITIONAL ATTACKS WITH SHOTS, %",Uruguay,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/pvtmslhT-WdZ4jMrq.png,11.5
ATTACK,#00CF00,100,"RIGHT ATTACKS WITH SHOTS, %",Algeria,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/A9ccQtU0-YFbDUeTh.png,10.71
ATTACK,#00CF00,100,"RIGHT ATTACKS WITH SHOTS, %",Belgium,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/AqUnTDAN-dtrVaP64.png,17.86
ATTACK,#00CF00,100,"RIGHT ATTACKS WITH SHOTS, %",Cabo Verde,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/vRSce5lC-GvK8wiCN.png,15.559999999999999
ATTACK,#00CF00,100,"RIGHT ATTACKS WITH SHOTS, %",Canada,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/0U0WjVkl-EqLGVN18.png,8.05
ATTACK,#00CF00,100,"RIGHT ATTACKS WITH SHOTS, %",Colombia,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/Y70aXOTH-C6kVdO5F.png,11.899999999999999
ATTACK,#00CF00,100,"RIGHT ATTACKS WITH SHOTS, %",Ecuador,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/nun1o8jC-IPF97VQ3.png,14.75
ATTACK,#00CF00,100,"RIGHT ATTACKS WITH SHOTS, %",Egypt,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/SKagcEU0-tY1cOGyQ.png,14.940000000000001
ATTACK,#00CF00,100,"RIGHT ATTACKS WITH SHOTS, %",Panama,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/WYjftaA6-6yXdouA1.png,13.459999999999999
ATTACK,#00CF00,100,"RIGHT ATTACKS WITH SHOTS, %",Senegal,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/xORbTVT0-lQcLqf4g.png,12.35
